sex,address,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,health,absences,G
F,U,A,college,college,15 to 30 min,2 to 5 hours,0,yes,no,no,no,yes,no,good,average,high,average,4,D
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,average,average,average,2,D
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,yes,no,no,no,yes,no,good,average,low,average,6,C
F,U,T,college,junior high,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,average,low,low,very good,0,B
F,U,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,low,very good,0,C
M,U,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,low,very good,6,C
M,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,good,high,high,average,0,C
F,U,A,college,college,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,no,good,very low,high,very bad,2,C
M,U,A,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,low,low,very bad,0,A
M,U,T,high school,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,very high,very low,very good,0,C
F,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,average,average,average,bad,2,B
F,U,T,junior high,elementary,30 min to 1 hr,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,low,low,good,0,C
M,U,T,college,college,<15 min,<2 hours,0,no,yes,no,yes,yes,no,good,average,average,very good,0,C
M,U,T,college,high school,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,high,average,average,0,C
M,U,A,junior high,junior high,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,very high,low,average,0,B
F,U,T,college,college,<15 min,<2 hours,0,no,yes,no,no,yes,no,good,high,high,bad,6,A
F,U,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,average,low,average,bad,10,B
F,U,T,high school,high school,30 min to 1 hr,2 to 5 hours,0,yes,yes,no,yes,yes,no,excellent,average,low,good,2,B
M,U,T,high school,junior high,<15 min,<2 hours,3,no,yes,yes,yes,yes,no,excellent,very high,very high,very good,2,F
M,U,T,college,high school,<15 min,<2 hours,0,no,no,no,yes,yes,no,average,very low,average,very good,6,C
M,U,T,college,high school,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,good,high,very low,very bad,0,B
M,U,T,college,college,<15 min,<2 hours,0,no,yes,yes,no,yes,no,excellent,high,low,very good,0,C
M,U,T,college,junior high,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,good,very high,very low,very good,0,B
M,U,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,high,very good,2,D
F,R,T,junior high,college,<15 min,5 to 10 hours,0,yes,yes,no,yes,yes,no,good,average,low,very good,2,D
F,U,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,no,very bad,low,low,very good,6,C
M,U,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,no,good,low,low,very good,8,C
M,U,T,college,junior high,<15 min,<2 hours,0,no,no,no,no,yes,no,bad,low,high,very bad,0,D
M,U,A,high school,college,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,no,excellent,average,average,very good,2,C
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,good,high,very high,very good,4,C
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,no,excellent,high,low,very good,0,D
M,U,T,college,college,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,very low,very good,2,B
M,R,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,good,very high,low,very good,0,B
M,U,T,high school,high school,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,excellent,average,low,bad,0,C
M,U,T,high school,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,no,excellent,high,average,very good,4,C
F,U,T,junior high,high school,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,no,average,very high,very low,very good,4,D
M,U,T,college,high school,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,high,average,good,0,B
M,R,A,college,college,15 to 30 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,bad,high,average,very good,4,C
F,R,T,high school,college,<15 min,5 to 10 hours,0,yes,yes,no,yes,yes,no,good,average,low,very good,2,C
F,R,T,junior high,junior high,<15 min,<2 hours,0,yes,yes,no,yes,yes,no,good,average,very low,bad,8,C
F,U,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,average,average,average,average,16,D
M,U,T,college,college,<15 min,<2 hours,0,no,yes,no,no,yes,yes,excellent,high,average,very good,8,D
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,average,very good,0,B
M,U,T,junior high,junior high,<15 min,<2 hours,0,yes,yes,no,no,yes,no,excellent,high,very low,very bad,0,D
F,U,T,junior high,junior high,15 to 30 min,2 to 5 hours,1,yes,no,no,yes,yes,no,good,average,average,very good,14,D
F,U,A,college,high school,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,excellent,low,low,very good,4,D
F,U,A,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,bad,average,very high,average,6,C
M,U,T,college,high school,<15 min,10 hours,0,no,no,no,yes,yes,no,good,low,low,bad,2,A
M,U,T,college,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,average,very good,4,C
F,U,T,college,college,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,no,good,high,high,average,2,C
F,U,T,junior high,junior high,30 min to 1 hr,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,average,good,0,C
F,U,T,college,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,average,very good,0,A
M,U,A,college,junior high,15 to 30 min,<2 hours,0,no,no,no,no,yes,no,excellent,very high,very high,very good,4,F
F,U,T,college,college,<15 min,<2 hours,0,yes,yes,no,no,yes,no,average,average,high,very good,0,C
F,U,A,high school,high school,<15 min,<2 hours,0,no,no,no,no,yes,no,excellent,average,high,very bad,0,C
F,U,A,junior high,elementary,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,excellent,average,high,bad,2,C
F,U,A,college,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,low,very bad,0,B
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,average,low,low,very good,8,A
M,U,T,elementary,junior high,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,no,good,average,low,very good,0,B
F,U,T,college,junior high,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,no,good,low,average,very good,2,A
F,R,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,bad,high,high,good,0,A
F,U,T,elementary,elementary,>1 hour,<2 hours,0,yes,yes,no,yes,yes,yes,excellent,very high,very high,very good,0,A
F,U,T,elementary,junior high,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,no,good,high,average,very bad,0,D
F,U,T,college,high school,<15 min,5 to 10 hours,0,yes,yes,no,yes,yes,no,average,high,high,good,0,C
F,U,T,college,high school,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,good,high,high,bad,0,C
F,U,T,college,high school,30 min to 1 hr,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,average,very bad,2,A
M,U,A,college,college,<15 min,10 hours,0,no,yes,no,yes,yes,yes,very bad,average,average,average,0,C
F,U,T,high school,elementary,<15 min,10 hours,0,yes,yes,no,no,yes,no,good,average,average,very good,0,F
F,R,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,no,good,very low,average,good,0,D
F,R,T,high school,elementary,15 to 30 min,10 hours,0,no,yes,no,no,yes,no,good,high,low,average,6,B
M,U,T,high school,elementary,15 to 30 min,10 hours,0,no,yes,no,no,yes,no,good,average,low,very good,2,D
M,U,T,college,junior high,<15 min,10 hours,0,no,no,no,no,yes,no,average,average,average,average,0,F
F,R,T,elementary,elementary,<15 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,average,average,high,very good,2,D
M,U,T,high school,elementary,<15 min,<2 hours,0,no,no,no,yes,yes,no,excellent,average,low,very good,0,B
F,U,T,high school,high school,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,no,good,average,average,very good,4,D
M,U,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,average,very good,0,D
M,U,T,college,none,15 to 30 min,10 hours,0,no,no,no,yes,yes,no,average,high,average,very bad,0,D
F,U,T,junior high,junior high,<15 min,10 hours,0,no,no,no,no,yes,yes,excellent,low,average,average,1,C
M,U,T,junior high,elementary,15 to 30 min,<2 hours,3,yes,yes,no,yes,no,no,good,very high,very low,average,0,F
F,U,T,high school,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,bad,high,average,average,14,D
M,U,T,junior high,high school,<15 min,<2 hours,0,yes,yes,no,yes,yes,yes,average,low,low,average,0,C
M,U,T,junior high,high school,<15 min,5 to 10 hours,0,yes,no,no,no,yes,no,excellent,average,low,very good,2,F
F,U,T,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,high,high,very good,4,D
M,U,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,no,yes,yes,yes,no,excellent,average,average,good,2,C
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,low,good,2,C
F,U,T,college,college,15 to 30 min,2 to 5 hours,0,no,no,no,no,yes,yes,good,high,high,very good,4,C
F,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,high,bad,6,D
F,U,T,college,junior high,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,average,average,very bad,4,B
M,U,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,no,good,high,low,average,6,D
M,U,A,college,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,very low,average,very good,6,F
F,U,T,high school,high school,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,average,average,good,2,D
F,U,T,college,high school,<15 min,<2 hours,0,no,no,no,yes,yes,no,good,very high,very high,very bad,6,C
F,U,T,high school,elementary,<15 min,2 to 5 hours,0,yes,yes,no,no,yes,no,average,average,average,bad,0,C
F,U,T,college,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,average,average,very bad,2,B
M,U,T,junior high,junior high,<15 min,10 hours,0,no,yes,no,yes,yes,no,good,average,high,good,2,C
F,R,T,elementary,elementary,15 to 30 min,10 hours,0,yes,yes,yes,yes,yes,no,average,very low,low,very bad,4,C
M,R,T,college,high school,15 to 30 min,<2 hours,0,yes,yes,yes,yes,yes,no,average,average,average,good,6,D
F,U,T,junior high,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,average,very high,very good,0,C
F,U,T,college,college,<15 min,<2 hours,0,no,no,no,yes,yes,no,excellent,average,high,very bad,4,C
F,U,T,college,high school,<15 min,5 to 10 hours,0,yes,yes,no,no,yes,no,excellent,average,very high,average,2,C
M,U,T,college,college,<15 min,<2 hours,0,yes,yes,no,yes,yes,no,good,very high,very high,good,12,F
M,U,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,good,high,average,good,0,A
M,U,T,college,college,<15 min,<2 hours,0,no,yes,yes,yes,yes,no,excellent,average,average,very good,2,C
F,U,T,high school,junior high,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,no,good,average,very high,bad,16,D
M,U,A,high school,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,high,very bad,0,A
F,U,A,high school,high school,<15 min,10 hours,0,yes,no,no,no,yes,no,good,average,average,good,10,D
F,U,T,junior high,junior high,<15 min,10 hours,0,yes,yes,no,no,yes,no,excellent,very low,low,average,4,D
M,U,T,high school,high school,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,average,average,very good,4,B
M,R,T,college,college,>1 hour,10 hours,0,no,yes,no,yes,yes,yes,very bad,average,very high,very bad,8,D
F,U,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,excellent,high,very high,good,2,B
M,U,A,college,college,<15 min,<2 hours,0,no,no,no,yes,yes,no,excellent,very high,average,good,4,B
F,R,T,high school,high school,<15 min,5 to 10 hours,0,yes,yes,no,yes,yes,no,good,very low,low,bad,4,D
F,U,T,junior high,junior high,<15 min,2 to 5 hours,1,yes,no,no,yes,yes,no,average,very low,low,very good,12,D
M,U,T,college,junior high,<15 min,<2 hours,0,no,no,no,no,yes,no,average,very high,low,average,10,A
M,R,T,junior high,elementary,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,excellent,high,low,very good,4,F
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,high,very good,6,B
M,U,T,college,college,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,high,average,bad,4,A
M,U,T,high school,high school,15 to 30 min,<2 hours,0,no,no,no,yes,yes,no,excellent,high,low,very good,6,B
M,R,T,elementary,high school,30 min to 1 hr,2 to 5 hours,1,no,yes,no,yes,yes,no,excellent,low,high,very good,14,D
M,U,T,high school,college,<15 min,<2 hours,0,no,no,no,no,yes,no,average,high,average,good,2,B
F,U,T,elementary,junior high,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,average,low,average,very bad,0,B
M,U,T,junior high,junior high,<15 min,10 hours,0,no,yes,no,yes,yes,no,excellent,very high,high,very good,6,C
F,U,T,junior high,college,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,good,low,low,very good,2,C
M,U,T,college,college,<15 min,<2 hours,0,no,yes,no,yes,yes,no,average,high,high,very good,4,C
F,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,excellent,high,high,very good,0,D
M,U,T,high school,college,<15 min,<2 hours,0,yes,no,no,no,yes,no,excellent,very high,very high,very good,2,F
F,U,A,high school,college,<15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,excellent,average,low,very bad,0,D
F,U,T,none,elementary,<15 min,2 to 5 hours,2,no,yes,no,no,no,no,average,high,low,very good,0,D
M,R,T,college,college,<15 min,<2 hours,0,no,no,no,yes,yes,no,average,very high,very high,good,8,B
M,U,T,junior high,high school,15 to 30 min,5 to 10 hours,0,no,yes,no,no,yes,yes,average,low,average,very bad,4,C
F,R,T,high school,college,15 to 30 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,low,low,very good,0,C
F,U,T,junior high,elementary,<15 min,2 to 5 hours,3,no,yes,no,yes,no,yes,excellent,high,very high,very good,10,F
F,U,A,junior high,elementary,30 min to 1 hr,<2 hours,0,no,yes,no,no,yes,no,average,low,low,very good,8,D
F,U,T,elementary,elementary,30 min to 1 hr,<2 hours,0,no,yes,no,yes,yes,yes,good,average,average,good,6,C
F,U,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,yes,average,high,high,very good,2,C
F,U,A,high school,college,<15 min,<2 hours,0,no,no,no,no,yes,no,average,low,very low,very good,12,B
M,U,T,junior high,elementary,>1 hour,<2 hours,0,no,no,no,no,yes,no,average,low,very low,bad,4,F
F,U,A,junior high,junior high,<15 min,<2 hours,1,no,no,no,no,yes,no,excellent,average,high,very good,12,D
M,R,T,high school,college,>1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,excellent,average,average,very good,2,D
F,U,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,good,average,average,very good,4,B
M,R,T,high school,college,30 min to 1 hr,2 to 5 hours,0,no,no,no,no,yes,no,excellent,high,very high,very good,2,F
F,R,T,elementary,elementary,>1 hour,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,very low,average,average,0,C
M,U,T,high school,elementary,15 to 30 min,<2 hours,0,no,no,no,yes,yes,yes,average,average,high,good,2,C
F,U,A,high school,junior high,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,good,average,average,very good,10,D
F,R,T,elementary,elementary,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,yes,average,average,average,very bad,8,D
F,U,A,high school,high school,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,yes,good,average,low,very good,4,F
M,U,T,elementary,elementary,<15 min,2 to 5 hours,2,no,no,no,no,yes,yes,good,high,high,very good,0,D
F,U,T,college,college,15 to 30 min,<2 hours,0,no,no,no,yes,yes,no,good,average,low,very good,6,B
F,R,T,elementary,elementary,30 min to 1 hr,<2 hours,1,no,no,no,yes,yes,yes,excellent,very high,very high,very bad,2,F
M,U,T,college,high school,15 to 30 min,10 hours,0,yes,yes,no,no,yes,no,bad,low,low,average,6,D
F,U,A,high school,high school,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,very bad,average,low,very bad,24,F
M,U,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,average,average,very good,0,C
M,U,T,junior high,junior high,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,no,bad,average,average,bad,4,D
F,U,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,good,low,low,very good,2,C
F,U,T,elementary,elementary,<15 min,<2 hours,0,no,no,no,no,yes,no,average,high,high,very bad,4,D
M,U,T,junior high,elementary,<15 min,<2 hours,0,no,yes,no,no,yes,no,excellent,high,very high,very good,22,F
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,high,low,very good,0,C
F,U,A,junior high,elementary,15 to 30 min,<2 hours,0,no,yes,no,yes,no,yes,good,high,low,very good,0,D
F,U,T,high school,junior high,<15 min,2 to 5 hours,1,no,yes,no,no,yes,no,average,average,low,average,2,D
F,U,T,elementary,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,low,very good,6,C
F,U,T,elementary,junior high,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,bad,average,high,very bad,6,D
M,U,T,college,college,<15 min,<2 hours,0,no,yes,no,no,no,yes,average,average,low,very good,16,F
M,U,A,junior high,elementary,>1 hour,<2 hours,0,no,no,no,no,yes,no,good,very high,very high,very good,0,D
M,U,T,elementary,elementary,<15 min,<2 hours,2,no,no,no,no,no,yes,bad,average,very high,good,0,F
M,U,T,junior high,elementary,<15 min,<2 hours,1,no,no,no,yes,yes,yes,good,high,high,very good,6,D
F,R,T,high school,high school,15 to 30 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,good,low,very low,average,2,C
M,U,T,high school,junior high,<15 min,<2 hours,0,no,yes,no,no,no,yes,good,very high,high,good,6,F
F,U,T,college,college,<15 min,<2 hours,0,yes,yes,no,no,yes,yes,good,low,very low,good,0,C
M,R,T,junior high,high school,<15 min,2 to 5 hours,0,yes,no,yes,yes,yes,no,good,high,high,very bad,0,F
M,R,T,elementary,junior high,<15 min,<2 hours,3,no,no,no,no,yes,no,bad,low,low,very good,14,F
F,R,T,elementary,elementary,30 min to 1 hr,<2 hours,3,no,yes,no,yes,yes,no,excellent,low,very high,good,6,D
M,R,T,junior high,junior high,30 min to 1 hr,<2 hours,0,no,no,no,no,yes,no,good,low,low,average,4,D
M,U,T,high school,high school,<15 min,2 to 5 hours,1,no,yes,no,no,yes,yes,good,very high,very high,very good,0,A
M,U,T,elementary,junior high,15 to 30 min,<2 hours,2,no,no,no,no,yes,no,good,high,very high,very good,0,F
M,R,T,junior high,elementary,15 to 30 min,<2 hours,1,no,no,yes,yes,no,yes,average,average,low,very good,8,F
M,R,T,high school,junior high,15 to 30 min,2 to 5 hours,2,yes,yes,no,no,yes,yes,good,high,high,average,4,F
M,U,T,elementary,junior high,15 to 30 min,<2 hours,0,no,no,no,yes,yes,no,good,high,high,very good,2,F
M,U,T,elementary,high school,<15 min,<2 hours,1,no,no,no,no,no,no,excellent,average,average,bad,2,F
M,R,T,elementary,elementary,>1 hour,2 to 5 hours,0,no,no,no,yes,no,yes,excellent,average,very high,very good,0,F
M,U,T,high school,junior high,15 to 30 min,<2 hours,3,no,yes,no,yes,no,no,good,very high,low,bad,10,F
M,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,no,no,no,no,no,good,average,very high,good,0,D
F,U,T,college,junior high,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,good,low,average,average,0,A
F,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,very low,very high,good,0,C
F,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,good,high,low,average,0,A
M,U,T,high school,college,30 min to 1 hr,<2 hours,1,no,yes,no,yes,yes,no,average,high,very high,bad,4,F
M,U,T,elementary,none,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,good,average,low,average,0,A
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,high,high,very good,0,F
F,U,T,elementary,high school,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,average,very high,average,0,C
F,U,T,high school,high school,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,high,very high,good,0,B
M,U,T,college,high school,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,no,good,high,high,good,0,D
F,U,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,no,average,high,high,very good,0,B
M,U,T,high school,high school,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,good,average,high,good,4,F
M,R,T,college,junior high,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,good,average,average,average,8,F
M,U,T,college,high school,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,excellent,low,average,bad,4,C
M,U,T,college,high school,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,no,average,high,average,average,4,D
M,U,T,high school,high school,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,low,average,average,0,C
F,U,T,junior high,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,low,very good,0,A
F,U,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,excellent,average,average,very bad,32,B
F,U,T,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,very bad,low,low,very bad,8,A
M,U,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,good,average,high,good,6,B
M,U,T,elementary,junior high,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,average,average,average,average,0,F
M,U,T,junior high,elementary,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,low,average,very good,0,A
F,U,A,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,average,average,average,average,10,B
M,R,T,elementary,junior high,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,average,very low,average,average,6,F
F,U,T,junior high,high school,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,good,average,average,bad,6,C
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,excellent,average,average,average,0,C
M,U,T,elementary,junior high,15 to 30 min,2 to 5 hours,0,no,no,no,yes,yes,no,good,high,high,very good,16,C
M,R,T,high school,high school,<15 min,<2 hours,0,no,yes,no,yes,yes,no,good,average,low,very good,0,D
M,U,T,junior high,high school,15 to 30 min,<2 hours,0,no,no,no,no,yes,no,excellent,average,average,average,0,C
F,U,T,junior high,college,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,good,average,low,very good,8,A
M,U,T,college,college,<15 min,<2 hours,0,no,no,no,no,yes,no,excellent,low,average,very good,4,B
M,R,T,high school,high school,30 min to 1 hr,<2 hours,0,no,yes,no,yes,yes,no,average,average,high,average,16,C
F,U,T,college,college,15 to 30 min,<2 hours,1,no,yes,no,no,yes,no,good,low,high,bad,30,A
F,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,very high,low,average,0,D
F,U,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,very high,bad,2,B
F,U,T,junior high,high school,<15 min,2 to 5 hours,0,yes,yes,no,yes,yes,no,good,high,average,good,4,C
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,high,high,very bad,0,B
