sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3

F,18,U,GT3,A,4,4,2,2,0,yes,no,no,no,yes,no,no,4,3,4,1,1,3,6,6

F,17,U,GT3,T,1,1,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,4,6

F,15,U,LE3,T,1,1,1,2,3,yes,no,yes,no,yes,yes,no,4,3,2,2,3,3,10,10

F,15,U,GT3,T,4,2,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15

F,16,U,GT3,T,3,3,1,2,0,no,yes,yes,no,yes,no,no,4,3,2,1,2,5,4,10

M,16,U,LE3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15

M,16,U,LE3,T,2,2,1,2,0,no,no,no,no,yes,yes,no,4,4,4,1,1,3,0,11

F,17,U,GT3,A,4,4,2,2,0,yes,yes,no,no,yes,no,no,4,1,4,1,1,1,6,6

M,15,U,LE3,A,3,2,1,2,0,no,yes,yes,no,yes,yes,no,4,2,2,1,1,1,0,19

M,15,U,GT3,T,3,4,1,2,0,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,15

F,15,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,no,3,3,3,1,2,2,0,9

F,15,U,GT3,T,2,1,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,4,12

M,15,U,LE3,T,4,4,1,1,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14

M,15,U,GT3,T,4,3,2,2,0,no,yes,yes,no,yes,yes,no,5,4,3,1,2,3,2,11

M,15,U,GT3,A,2,2,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,1,1,3,0,16

F,16,U,GT3,T,4,4,1,1,0,no,yes,no,no,yes,yes,no,4,4,4,1,2,2,4,14

F,16,U,GT3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,14

F,16,U,GT3,T,3,3,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,1,1,4,4,10

M,17,U,GT3,T,3,2,1,1,3,no,yes,no,yes,yes,yes,no,5,5,5,2,4,5,16,5

M,16,U,LE3,T,4,3,1,1,0,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,4,10

M,15,U,GT3,T,4,3,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,1,1,0,15

M,15,U,GT3,T,4,4,1,1,0,no,yes,yes,no,yes,yes,no,5,4,2,1,1,5,0,15

M,16,U,LE3,T,4,2,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,1,3,5,2,16

M,16,U,LE3,T,2,2,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,2,4,5,0,12

F,15,R,GT3,T,2,4,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,8

F,16,U,GT3,T,2,2,1,1,2,no,yes,yes,no,yes,yes,no,1,2,2,1,3,5,14,8

M,15,U,GT3,T,2,2,1,1,0,no,yes,yes,no,yes,yes,no,4,2,2,1,2,5,2,11

M,15,U,GT3,T,4,2,1,1,0,no,no,yes,no,yes,yes,no,2,2,4,2,4,1,4,15

M,16,U,LE3,A,3,4,1,2,0,yes,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4,11

M,16,U,GT3,T,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,11

M,15,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,no,5,4,2,3,4,5,0,12

M,15,U,GT3,T,4,4,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,0,17

M,15,R,GT3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,0,16

M,15,U,LE3,T,3,3,1,2,0,no,no,no,yes,yes,yes,no,5,3,2,1,1,2,0,12

M,16,U,GT3,T,3,2,1,1,0,no,yes,yes,no,yes,yes,no,5,4,3,1,1,5,0,15

F,15,U,GT3,T,2,3,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,0,6

M,15,U,LE3,T,4,3,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,2,18

M,16,R,GT3,A,4,4,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,7,15

F,15,R,GT3,T,3,4,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11

F,15,R,GT3,T,2,2,1,1,0,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,13

F,16,U,LE3,T,2,2,2,2,1,no,yes,no,yes,yes,yes,yes,3,3,3,1,2,3,25,11

M,15,U,LE3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,8,12

M,15,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,18

M,15,U,GT3,T,2,2,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,0,11

F,16,U,LE3,T,2,2,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,14,9

F,15,U,LE3,A,4,3,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,6

F,16,U,LE3,A,3,3,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,12,11

M,16,U,GT3,T,4,3,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,4,20

M,15,U,GT3,T,4,2,1,2,0,no,yes,yes,no,yes,no,no,4,3,3,2,2,5,2,14

F,15,U,GT3,T,4,4,1,2,1,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,3,2,7

F,16,U,LE3,T,2,2,3,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,3,4,2,13

F,15,U,LE3,T,4,2,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,5,2,13

M,15,U,LE3,A,4,2,2,1,1,no,no,no,no,yes,no,no,5,5,5,3,4,5,6,10

F,15,U,GT3,T,4,4,1,1,0,yes,yes,yes,no,yes,yes,no,3,3,4,2,3,5,0,11

F,15,U,LE3,A,3,3,1,1,0,no,no,yes,no,yes,yes,no,5,3,4,4,4,1,6,13

F,16,U,GT3,A,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,10

F,15,U,GT3,A,4,3,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15

M,15,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,4,15

M,15,U,LE3,T,1,2,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,9

F,16,U,GT3,T,4,2,1,2,0,no,yes,no,no,yes,yes,no,4,2,3,1,1,5,2,16

F,16,R,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,6,11

F,16,U,GT3,T,1,1,4,1,0,yes,yes,no,yes,yes,yes,yes,5,5,5,5,5,5,6,11

F,16,U,LE3,T,1,2,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,4,9

F,16,U,GT3,T,4,3,1,3,0,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,9

F,15,U,LE3,T,4,3,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0,10

F,16,U,LE3,T,4,3,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2,15

M,15,U,GT3,A,4,4,1,4,0,no,yes,no,yes,yes,yes,yes,1,3,3,5,5,3,4,12

F,16,U,GT3,T,3,1,1,4,0,yes,yes,yes,no,yes,yes,no,4,3,3,1,2,5,4,6

F,15,R,LE3,T,2,2,2,2,0,yes,yes,yes,no,yes,yes,no,4,1,3,1,3,4,2,8

F,15,R,LE3,T,3,1,2,4,0,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,12,16

M,16,U,GT3,T,3,1,2,4,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,0,15

M,15,U,GT3,T,4,2,1,4,0,no,no,no,no,yes,yes,no,3,3,3,1,1,3,0,10

F,15,R,GT3,T,1,1,1,2,2,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,2,5

M,16,U,GT3,T,3,1,1,1,0,no,no,no,yes,yes,no,no,5,3,2,2,2,5,2,14

F,16,U,GT3,T,3,3,1,2,0,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11

M,15,U,GT3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,10

M,15,U,GT3,T,4,0,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,1,1,8,10

F,16,U,GT3,T,2,2,1,4,0,no,no,yes,no,yes,yes,yes,5,2,3,1,3,3,0,11

M,17,U,GT3,T,2,1,2,1,3,yes,yes,no,yes,no,yes,no,4,5,1,1,1,3,2,10

F,16,U,GT3,T,3,4,1,2,0,no,yes,no,no,yes,yes,no,2,4,3,1,2,3,12,5

M,15,U,GT3,T,2,3,1,1,0,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,3,3,2,12

M,15,U,GT3,T,2,3,1,3,0,yes,no,yes,no,yes,yes,no,5,3,2,1,2,5,4,11

F,15,U,LE3,T,3,2,1,2,0,no,yes,yes,no,yes,yes,no,4,4,4,1,1,5,10,6

M,15,U,LE3,T,2,2,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15

F,15,U,GT3,T,1,1,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,2,3,4,2,10

F,15,U,GT3,T,4,4,2,2,2,no,no,yes,no,yes,yes,yes,4,4,4,2,3,5,6,8

F,16,U,LE3,T,2,2,1,2,0,no,yes,no,no,yes,no,no,4,3,4,1,2,2,4,6

F,15,U,GT3,T,4,2,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,1,4,14

M,16,U,GT3,T,2,2,2,2,1,no,no,yes,yes,yes,yes,no,4,4,2,1,1,3,12,10

M,16,U,LE3,A,4,4,1,2,0,no,yes,no,no,yes,no,no,4,1,3,3,5,5,18,7

F,16,U,GT3,T,3,3,1,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,3,4,0,8

F,15,U,GT3,T,4,3,1,1,0,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,4,18

F,16,U,LE3,T,3,1,1,2,0,yes,yes,no,no,yes,no,no,3,3,3,2,3,2,4,6

F,16,U,GT3,T,4,2,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,10

M,15,U,LE3,T,2,2,1,4,0,no,yes,no,yes,yes,yes,no,4,3,4,1,1,4,6,14

F,15,R,GT3,T,1,1,2,4,1,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,10

M,16,R,GT3,T,4,3,2,1,0,yes,yes,no,yes,yes,yes,no,3,3,3,1,1,4,2,15

F,16,U,GT3,T,2,1,1,2,0,no,yes,yes,no,yes,no,yes,4,3,5,1,1,5,2,10

F,16,U,GT3,T,4,4,1,1,0,no,no,no,yes,yes,yes,no,5,3,4,1,2,1,6,14

F,16,U,GT3,T,4,3,1,3,0,yes,yes,yes,no,yes,yes,no,5,3,5,1,1,3,0,8

M,16,U,GT3,T,4,4,1,1,0,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,5

M,16,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,0,17

M,15,U,GT3,T,4,4,1,1,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4,14

F,15,U,GT3,T,3,2,2,2,0,yes,yes,yes,no,yes,yes,no,4,3,5,1,1,2,26,6

M,15,U,GT3,A,3,4,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,18

F,15,U,GT3,A,3,3,1,4,0,yes,no,no,no,yes,no,no,4,3,3,1,1,4,10,11

F,15,U,GT3,T,2,2,1,4,0,yes,yes,yes,no,yes,yes,no,5,1,2,1,1,3,8,8

M,16,U,GT3,T,3,3,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,2,18

M,15,R,GT3,T,4,4,4,4,0,no,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,13

F,16,U,LE3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,16

M,15,U,LE3,A,4,4,1,1,0,no,no,no,yes,yes,yes,no,5,5,3,1,1,4,6,19

F,16,R,GT3,T,3,3,1,3,1,yes,yes,no,yes,yes,yes,no,4,1,2,1,1,2,0,10

F,16,U,GT3,T,2,2,1,2,1,yes,no,no,yes,yes,yes,no,3,1,2,1,1,5,6,13

M,15,U,LE3,T,4,2,1,1,0,no,no,no,no,yes,yes,no,3,5,2,1,1,3,10,19

M,15,R,GT3,T,2,1,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,8,9

M,16,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,2,5,2,16

M,15,U,GT3,T,4,4,2,2,0,no,yes,no,yes,yes,no,no,4,4,3,1,1,2,2,14

M,16,U,GT3,T,3,3,2,1,0,no,no,no,yes,yes,yes,no,5,4,2,1,1,5,0,13

M,17,R,GT3,T,1,3,3,2,1,no,yes,no,yes,yes,yes,no,5,2,4,1,4,5,20,8

M,15,U,GT3,T,3,4,1,1,0,no,no,no,no,yes,yes,no,3,4,3,1,2,4,6,13

F,15,U,GT3,T,1,2,1,2,0,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,15

M,15,U,GT3,T,2,2,1,4,0,no,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,15

F,16,U,LE3,T,2,4,2,2,0,no,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13

M,16,U,GT3,T,4,4,1,1,0,no,yes,no,yes,yes,yes,no,3,4,4,1,4,5,18,13

F,16,U,GT3,T,2,2,1,2,0,no,no,yes,no,yes,yes,yes,5,4,4,1,1,5,0,8

M,15,U,GT3,T,3,4,1,1,0,yes,no,no,no,yes,yes,no,5,5,5,3,2,5,0,12

F,15,U,LE3,A,3,4,1,2,0,yes,no,no,yes,yes,yes,yes,5,3,2,1,1,1,0,11

F,19,U,GT3,T,0,1,1,2,3,no,yes,no,no,no,no,no,3,4,2,1,1,5,2,9

M,18,R,GT3,T,2,2,1,1,2,no,yes,no,yes,yes,yes,no,3,3,3,1,2,4,0,0

M,16,R,GT3,T,4,4,1,1,0,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18

F,15,R,GT3,T,3,4,2,3,2,no,yes,no,no,yes,yes,yes,4,2,2,2,2,5,0,0

F,15,U,GT3,T,1,1,3,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,2,4,0,0

F,17,U,LE3,T,2,2,1,1,0,no,yes,no,no,yes,yes,yes,3,4,4,1,3,5,12,12

F,16,U,GT3,A,3,4,1,1,0,no,no,no,no,yes,yes,no,3,2,1,1,4,5,16,11

M,15,R,GT3,T,3,4,4,2,0,no,yes,no,no,yes,no,yes,5,3,3,1,1,5,0,0

F,15,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,0,0

M,17,R,GT3,T,3,4,3,2,0,no,no,no,no,yes,no,no,5,4,5,2,4,5,0,0

F,16,U,GT3,A,3,3,2,1,2,no,yes,no,yes,yes,yes,yes,4,3,2,1,1,5,0,0

M,16,U,LE3,T,1,1,1,2,1,no,no,no,no,yes,no,yes,4,4,4,1,3,5,0,12

F,15,U,GT3,T,4,4,2,1,0,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,0,15

M,15,U,GT3,T,4,3,2,4,0,yes,yes,no,no,yes,yes,no,2,2,2,1,1,3,0,0

M,16,U,LE3,T,2,2,2,1,2,no,yes,no,yes,yes,yes,no,2,3,3,2,2,2,8,9

F,15,U,GT3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,11

F,16,U,LE3,T,1,1,1,1,0,no,no,no,no,yes,yes,no,3,4,4,3,3,1,2,13

M,17,U,GT3,T,2,1,1,1,3,no,yes,no,no,yes,yes,no,5,4,5,1,2,5,0,0

F,15,U,GT3,T,1,1,1,2,0,no,yes,yes,no,yes,yes,no,4,4,2,1,2,5,0,11

F,15,U,GT3,T,3,2,1,2,3,no,yes,no,no,yes,yes,no,3,3,2,1,1,3,0,0

F,15,U,GT3,T,1,2,1,2,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,11

M,16,U,GT3,T,4,4,1,1,0,no,yes,no,no,no,yes,yes,3,3,2,2,1,5,0,0

M,15,U,LE3,A,2,1,4,1,3,no,no,no,no,yes,yes,no,4,5,5,2,5,5,0,10

M,18,U,LE3,T,1,1,1,1,3,no,no,no,no,no,yes,yes,2,3,5,2,5,4,0,0

M,16,U,LE3,T,2,1,1,1,1,no,no,no,yes,yes,no,yes,4,4,4,3,5,5,6,14

F,15,R,GT3,T,3,3,2,3,2,no,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10

M,19,U,GT3,T,3,2,1,1,3,no,yes,no,no,no,yes,yes,4,5,4,1,1,4,0,0

F,17,U,GT3,T,4,4,1,1,0,yes,yes,no,no,yes,no,yes,4,2,1,1,1,4,0,12

M,15,R,GT3,T,2,3,1,2,0,yes,no,yes,yes,yes,no,no,4,4,4,1,1,1,2,8

M,17,R,LE3,T,1,2,1,1,0,no,no,no,no,yes,no,no,2,2,2,3,3,5,8,13

F,18,R,GT3,T,1,1,3,1,3,no,yes,no,yes,yes,no,no,5,2,5,1,5,4,6,10

M,16,R,GT3,T,2,2,3,1,0,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,15

M,16,U,GT3,T,3,3,1,2,1,no,yes,yes,no,yes,yes,yes,4,5,5,4,4,5,4,12

M,17,R,LE3,T,2,1,2,1,2,no,no,no,yes,no,yes,yes,3,3,2,2,2,5,0,0

M,15,R,GT3,T,3,2,2,2,2,yes,yes,no,no,yes,yes,yes,4,4,4,1,4,3,6,7

M,16,U,LE3,T,1,2,2,1,1,no,no,no,yes,yes,no,no,4,4,4,2,4,5,0,0

M,17,U,GT3,T,1,3,1,1,0,no,no,no,no,no,yes,no,5,3,3,1,4,2,2,10

M,17,R,LE3,T,1,1,4,2,3,no,no,no,yes,no,no,yes,5,3,5,1,5,5,0,7

M,16,U,GT3,T,3,2,2,1,1,no,yes,no,yes,no,no,no,4,5,2,1,1,2,16,12

M,16,U,GT3,T,2,2,1,2,0,no,no,no,no,no,yes,no,4,3,5,2,4,4,4,10

F,16,U,GT3,T,4,2,1,2,0,no,no,yes,no,yes,yes,yes,4,2,3,1,1,3,0,16

F,16,U,GT3,T,2,2,1,2,0,no,yes,yes,no,yes,yes,no,5,1,5,1,1,4,0,0

F,16,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,2,1,1,3,0,14

M,16,U,GT3,T,3,4,3,1,2,no,yes,no,yes,yes,yes,no,3,4,5,2,4,2,0,0

M,16,U,GT3,T,1,0,2,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,2,16

M,17,U,LE3,T,4,4,1,2,0,no,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,0,10

F,16,U,GT3,T,1,3,1,2,3,no,no,no,yes,yes,yes,yes,4,3,5,1,1,3,0,0

F,16,U,LE3,T,3,3,2,2,0,no,yes,yes,yes,yes,yes,no,4,4,5,1,1,4,4,9

M,17,U,LE3,T,4,3,2,2,0,no,no,yes,yes,yes,yes,no,4,4,4,4,4,4,4,9

F,16,U,GT3,T,2,2,2,2,0,no,no,yes,yes,yes,yes,no,3,4,4,1,4,5,2,11

M,17,U,GT3,T,3,3,1,2,0,no,no,no,yes,yes,yes,no,4,3,4,1,4,4,4,6

M,16,R,GT3,T,4,2,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,3,4,3,10,9

M,17,U,GT3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,2,3,1,1,2,4,11

M,16,U,GT3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,10,8

M,16,U,GT3,T,3,3,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,12

F,17,U,GT3,T,2,4,1,2,0,no,yes,no,yes,yes,no,no,5,4,2,2,3,5,0,17

F,17,U,LE3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,3,2,3,1,56,8

F,16,U,GT3,T,3,2,1,2,0,no,yes,yes,no,yes,yes,no,1,2,2,1,2,1,14,12

M,17,U,GT3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,4,2,3,4,12,11

M,16,U,GT3,T,1,2,1,1,0,no,yes,yes,yes,yes,yes,yes,3,3,3,1,2,3,2,11

M,16,U,LE3,T,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,5,0,15

F,17,U,GT3,A,3,3,1,2,0,no,yes,no,no,yes,yes,yes,3,3,3,1,3,3,6,9

M,17,R,GT3,T,1,2,1,2,0,no,no,no,no,yes,no,no,3,1,3,1,5,3,4,10

F,16,U,GT3,T,2,3,1,2,0,no,no,no,no,yes,yes,no,4,3,3,1,1,2,10,13

F,17,U,GT3,T,1,1,1,2,0,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,0,9

M,17,U,GT3,T,1,2,2,2,0,no,no,yes,yes,yes,yes,no,4,4,4,4,5,5,12,8

M,16,R,GT3,T,3,3,1,1,0,no,yes,no,yes,yes,yes,no,4,3,2,3,4,5,8,10

M,16,U,GT3,T,2,3,2,1,0,no,no,no,no,yes,yes,no,5,3,3,1,1,3,0,14

F,17,U,LE3,T,2,4,1,2,0,no,no,no,yes,yes,yes,yes,4,3,2,1,1,5,0,15

