sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
M,17,U,GT3,T,4,4,1,1,0,no,no,no,no,yes,yes,no,5,2,3,1,2,5,4,16

M,16,R,LE3,T,3,3,3,1,0,no,yes,yes,yes,yes,yes,no,3,3,4,3,5,3,8,10

F,17,U,GT3,T,4,4,2,1,1,no,yes,no,no,yes,yes,no,4,2,4,2,3,2,24,18

F,16,U,LE3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,no,4,5,2,1,2,3,0,10

F,16,U,GT3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,no,4,3,5,1,5,2,2,16

F,16,U,GT3,T,2,3,1,2,0,yes,yes,yes,yes,yes,no,no,4,4,3,1,3,4,6,10

F,17,U,GT3,T,1,1,1,2,0,no,yes,yes,no,yes,no,no,4,4,4,1,3,1,4,10

F,17,R,GT3,T,2,2,1,1,0,no,yes,no,no,yes,yes,no,5,3,2,1,2,3,18,6

F,16,R,GT3,T,2,2,2,4,0,no,yes,yes,yes,yes,yes,no,5,3,5,1,1,5,6,11

F,17,U,GT3,T,3,4,1,3,1,no,yes,yes,no,yes,yes,yes,4,4,3,3,4,5,28,9

F,16,U,GT3,A,3,1,1,2,3,no,yes,yes,no,yes,yes,no,2,3,3,2,2,4,5,7

F,16,U,GT3,T,4,3,1,2,0,no,no,yes,yes,yes,yes,yes,1,3,2,1,1,1,10,13

F,16,U,GT3,T,1,1,2,1,0,no,yes,yes,no,yes,no,no,4,3,2,1,4,5,6,10

F,17,R,GT3,T,4,3,2,3,0,no,yes,yes,yes,yes,yes,yes,4,4,2,1,1,4,6,7

F,19,U,GT3,T,3,3,1,4,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,3,10,8

M,17,U,LE3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,5,3,5,4,5,3,13,13

F,16,U,GT3,A,2,2,1,2,0,yes,yes,yes,no,yes,yes,no,3,3,4,1,1,4,0,14

M,18,U,GT3,T,2,2,1,2,1,no,yes,yes,yes,yes,yes,no,4,4,4,2,4,5,15,8

F,17,R,LE3,T,4,4,1,1,0,no,yes,yes,no,yes,no,no,5,2,1,1,2,3,12,10

F,17,U,LE3,T,3,2,2,2,0,no,no,yes,no,yes,yes,no,4,4,4,1,3,1,2,15

F,17,U,GT3,T,4,3,1,2,2,no,no,yes,no,yes,yes,yes,3,4,5,2,4,1,22,4

M,18,U,LE3,T,3,3,1,2,1,no,yes,yes,no,yes,yes,no,3,2,4,2,4,4,13,8

F,17,U,GT3,T,2,3,2,1,0,no,yes,yes,no,yes,no,no,3,3,3,1,4,3,3,8

F,17,U,GT3,T,2,2,1,3,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,4,10

F,17,R,GT3,T,2,1,2,2,0,no,yes,no,yes,yes,yes,no,4,2,5,1,2,5,2,6

F,17,U,GT3,T,1,1,1,3,1,no,yes,no,yes,yes,no,yes,4,3,4,1,1,5,0,0

F,16,U,GT3,T,2,3,1,2,0,yes,no,no,no,yes,yes,no,2,3,1,1,1,3,2,17

M,18,U,GT3,T,2,2,2,2,0,no,yes,yes,no,yes,yes,no,3,3,3,5,5,4,0,13

F,16,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,no,5,3,2,1,1,5,0,14

F,18,R,GT3,T,3,1,1,2,1,no,no,no,yes,yes,yes,yes,5,3,3,1,1,4,16,7

F,17,U,GT3,T,3,2,1,2,0,no,no,no,yes,yes,yes,no,5,3,4,1,3,3,10,15

M,17,U,LE3,T,2,3,1,2,0,no,yes,yes,no,yes,yes,no,5,3,3,1,3,3,2,12

M,18,U,LE3,T,2,1,4,2,0,yes,yes,yes,yes,yes,yes,yes,4,3,2,4,5,3,14,9

F,17,U,GT3,A,2,1,2,3,0,no,no,no,yes,yes,yes,yes,3,2,3,1,2,3,10,12

F,17,U,LE3,T,4,3,1,2,0,no,no,no,yes,yes,yes,yes,3,2,3,1,2,3,14,14

M,17,R,GT3,T,2,2,2,2,0,no,yes,yes,yes,yes,yes,no,4,5,2,1,1,1,4,11

M,17,U,GT3,T,4,4,1,2,0,yes,yes,no,yes,yes,yes,yes,4,5,5,1,3,2,14,9

M,16,U,GT3,T,4,4,1,2,0,no,yes,yes,yes,yes,yes,no,4,2,4,2,4,1,2,13

M,16,U,LE3,T,1,1,2,2,0,no,yes,yes,no,yes,yes,no,3,4,2,1,1,5,18,6

M,16,U,GT3,T,3,2,2,3,0,no,no,no,yes,yes,yes,yes,5,3,3,1,3,2,10,10

M,17,U,LE3,T,2,2,1,2,0,no,no,yes,yes,yes,yes,yes,4,4,2,5,5,4,4,13

F,16,U,GT3,T,2,1,1,1,0,no,no,no,no,yes,yes,yes,4,5,2,1,1,5,20,12

F,17,R,GT3,T,2,1,3,2,0,no,no,no,yes,yes,no,no,2,1,1,1,1,3,2,11

M,18,U,GT3,T,2,2,1,2,1,no,no,no,no,no,yes,no,5,5,4,3,5,2,0,0

M,17,U,LE3,T,4,3,2,2,0,no,no,no,yes,yes,yes,yes,2,5,5,1,4,5,14,12

M,17,R,LE3,A,4,4,2,2,0,no,yes,yes,no,yes,yes,no,3,3,3,2,3,4,2,12

M,16,U,LE3,T,4,3,1,1,0,no,no,no,yes,yes,yes,no,5,4,5,1,1,3,0,0

M,16,U,GT3,T,4,4,1,1,0,no,no,no,yes,yes,yes,no,5,3,2,1,2,5,0,12

F,18,U,GT3,T,2,1,2,3,0,no,yes,yes,no,yes,yes,yes,4,4,4,1,1,3,0,0

M,16,U,GT3,T,2,1,3,1,0,no,no,no,no,yes,yes,no,4,3,3,1,1,4,6,18

M,17,U,GT3,T,2,3,2,1,0,no,no,no,no,yes,yes,no,5,2,2,1,1,2,4,13

M,22,U,GT3,T,3,1,1,1,3,no,no,no,no,no,yes,yes,5,4,5,5,5,1,16,8

M,18,R,LE3,T,3,3,1,2,1,no,yes,no,no,yes,yes,yes,4,3,3,1,3,5,8,5

M,16,U,GT3,T,0,2,1,1,0,no,no,yes,no,yes,yes,no,4,3,2,2,4,5,0,15

M,18,U,GT3,T,3,2,2,1,1,no,no,no,no,no,yes,no,4,4,5,2,4,5,0,8

M,16,U,GT3,T,3,3,3,2,0,yes,yes,no,no,yes,yes,no,5,3,3,1,3,2,6,10

M,18,U,GT3,T,2,1,1,1,1,no,no,no,no,no,yes,no,3,2,5,2,5,5,4,8

M,16,R,GT3,T,2,1,2,1,0,no,no,no,yes,yes,no,no,3,3,2,1,3,3,0,8

M,17,R,GT3,T,2,1,1,1,0,no,no,no,no,yes,yes,no,4,4,2,2,4,5,0,12

M,17,U,LE3,T,1,1,2,1,1,no,yes,no,yes,yes,yes,no,4,4,4,1,2,5,2,8

F,17,U,LE3,T,4,2,1,4,0,no,yes,yes,yes,yes,yes,no,4,2,3,1,1,4,6,13

M,19,U,LE3,A,4,3,1,2,0,no,yes,no,no,yes,yes,no,4,3,1,1,1,1,12,11

M,18,U,GT3,T,2,1,1,2,0,no,no,no,yes,yes,yes,no,5,2,4,1,2,4,8,14

F,17,U,LE3,T,2,2,1,4,0,no,no,yes,yes,yes,yes,yes,3,4,1,1,1,2,0,0

F,18,U,GT3,T,4,3,1,2,0,no,yes,yes,no,yes,yes,yes,3,1,2,1,3,2,21,18

M,18,U,GT3,T,4,3,1,2,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,3,2,8

M,18,R,GT3,T,3,2,1,3,0,no,no,no,yes,yes,no,no,5,3,2,1,1,3,1,12

F,17,U,GT3,T,3,3,1,3,0,no,no,no,yes,yes,no,no,3,2,3,1,1,4,4,9

F,18,U,GT3,T,2,2,1,3,0,no,yes,yes,yes,yes,yes,yes,4,3,3,1,1,3,0,0

M,18,R,LE3,A,3,4,2,2,0,no,yes,yes,yes,yes,yes,no,4,2,5,3,4,1,13,17

M,17,U,GT3,T,3,1,1,2,0,no,no,yes,yes,yes,yes,yes,5,4,4,3,4,5,2,10

F,18,R,GT3,T,4,4,2,2,0,no,no,yes,yes,yes,yes,no,4,3,4,2,2,4,8,11

M,18,U,GT3,T,4,2,1,2,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,3,5,10,10

F,18,R,GT3,T,2,1,2,2,0,no,yes,no,no,no,yes,yes,4,3,5,1,2,3,0,0

F,19,U,GT3,T,3,3,1,2,2,no,yes,yes,yes,yes,yes,no,4,3,5,3,3,5,15,9

F,18,U,GT3,T,2,3,1,4,0,no,yes,yes,yes,yes,yes,yes,4,5,5,1,3,2,4,14

F,18,U,LE3,T,1,1,2,2,0,no,yes,yes,no,yes,no,no,4,4,3,1,1,3,2,11

M,17,R,GT3,T,1,2,1,2,0,no,yes,yes,yes,yes,no,yes,3,5,2,2,2,1,2,14

F,17,U,GT3,T,2,4,2,2,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,1,1,2,10

F,17,U,LE3,T,2,2,2,2,0,yes,yes,yes,no,yes,yes,yes,4,4,4,2,3,5,6,12

F,18,R,GT3,A,3,2,2,2,0,no,no,no,no,no,yes,yes,4,1,1,1,1,5,75,9

M,18,U,GT3,T,4,4,2,1,0,no,no,yes,yes,yes,yes,no,3,2,4,1,4,3,22,9

F,18,U,GT3,T,4,4,1,2,1,yes,yes,no,yes,yes,yes,yes,2,4,4,1,1,4,15,8

M,18,U,LE3,T,4,3,2,1,0,no,no,yes,yes,yes,yes,no,4,2,3,1,2,1,8,10

M,17,U,LE3,A,4,1,2,1,0,no,no,yes,yes,yes,yes,yes,4,5,4,2,4,5,30,8

M,17,U,LE3,A,3,2,1,1,1,no,no,no,no,yes,yes,no,4,4,4,3,4,3,19,10

F,18,R,LE3,T,1,1,2,4,0,no,yes,yes,yes,yes,no,no,5,2,2,1,1,3,1,12

F,18,U,GT3,T,1,1,2,2,0,yes,no,no,yes,yes,yes,no,5,4,4,1,1,4,4,10

F,17,U,GT3,T,2,2,1,2,0,no,yes,no,no,yes,yes,no,5,4,5,1,2,5,4,11

M,17,U,GT3,T,1,1,1,2,0,no,no,yes,no,yes,yes,no,4,3,3,1,2,4,2,11

F,18,U,GT3,T,2,2,1,3,0,no,yes,yes,no,yes,yes,no,4,3,3,1,2,2,5,19

F,17,U,GT3,T,1,1,1,3,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,3,6,12

M,18,U,GT3,T,2,1,1,3,0,no,no,yes,yes,yes,yes,no,4,2,4,1,3,2,6,14

M,18,U,LE3,A,4,4,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,3,1,1,2,9,15

M,18,U,GT3,T,4,2,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,1,4,5,11,11

F,17,U,GT3,T,4,3,1,3,0,no,yes,yes,no,yes,yes,no,4,2,2,1,2,3,0,15

F,18,U,LE3,T,2,1,1,2,1,no,no,no,no,yes,yes,yes,5,4,3,1,1,5,12,13

F,17,R,LE3,T,3,1,2,4,0,no,yes,yes,no,yes,no,no,3,1,2,1,1,3,6,18

M,18,R,LE3,T,3,2,2,3,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,1,4,8,14

M,17,U,GT3,T,3,3,1,1,0,no,yes,yes,no,yes,yes,no,4,4,3,1,3,5,4,11

F,19,U,GT3,T,4,4,2,2,0,no,yes,yes,yes,yes,yes,no,2,3,4,2,3,2,0,0

F,18,U,LE3,T,4,3,2,2,0,no,yes,yes,no,yes,yes,yes,4,4,5,1,2,2,10,8

F,18,U,GT3,T,4,3,1,4,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,3,0,14

M,18,U,LE3,T,4,4,1,1,0,no,yes,yes,no,yes,yes,yes,1,4,2,2,2,1,5,16

F,18,U,LE3,A,4,4,1,2,0,no,yes,no,no,yes,yes,yes,4,2,4,1,1,4,14,11

M,17,U,LE3,T,4,4,2,1,0,no,no,yes,no,yes,yes,no,4,1,1,2,2,5,0,10

F,17,U,GT3,T,4,2,2,3,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,3,0,14

F,17,U,GT3,T,3,2,1,4,0,no,yes,yes,yes,yes,yes,no,5,2,2,1,2,5,0,18

M,19,U,GT3,T,3,3,1,2,1,no,yes,no,yes,yes,yes,yes,4,4,4,1,1,3,20,13

F,18,U,GT3,T,2,4,1,2,1,no,yes,yes,yes,yes,yes,no,4,4,3,1,1,3,8,12

M,20,U,GT3,A,3,2,1,1,0,no,no,no,yes,yes,no,no,5,5,3,1,1,5,0,18

M,19,U,GT3,T,4,4,2,1,1,no,yes,yes,no,yes,yes,yes,4,3,4,1,1,4,38,8

M,19,R,GT3,T,3,3,1,2,1,no,no,no,yes,yes,no,yes,4,5,3,1,2,5,0,12

F,19,U,LE3,T,1,1,1,2,1,yes,yes,no,yes,yes,yes,no,4,4,3,1,3,3,18,10

F,19,U,LE3,T,1,2,1,2,1,no,no,no,yes,yes,no,yes,4,2,4,2,2,3,0,0

F,19,U,GT3,T,2,1,3,2,0,no,yes,no,no,no,yes,yes,3,4,1,1,1,2,20,13

M,19,U,GT3,T,1,2,1,2,1,no,no,no,no,yes,yes,no,4,5,2,2,2,4,3,11

F,19,U,LE3,T,3,2,2,2,1,no,yes,yes,no,yes,yes,yes,4,2,2,1,2,1,22,11

F,19,U,GT3,T,1,1,1,3,2,no,no,no,no,yes,yes,yes,4,1,2,1,1,3,14,13

F,19,R,GT3,T,2,3,1,3,1,no,no,no,no,yes,yes,yes,4,1,2,1,1,3,40,11

F,18,U,GT3,T,2,1,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,2,1,0,0

F,18,U,GT3,T,4,3,1,3,0,no,yes,yes,yes,yes,yes,yes,4,3,4,1,1,5,9,9

F,17,R,GT3,T,3,4,1,3,0,no,yes,yes,yes,yes,yes,no,4,3,4,2,5,5,0,10

F,18,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,no,4,4,4,3,3,5,2,11

F,17,U,GT3,A,4,3,1,2,0,no,yes,yes,no,yes,yes,yes,5,2,2,1,2,5,23,13

F,17,U,GT3,T,2,2,1,2,0,no,yes,no,no,yes,no,yes,4,2,2,1,1,3,12,9

F,17,R,LE3,T,2,2,1,3,0,no,yes,yes,yes,yes,yes,no,3,3,2,2,2,3,3,11

F,17,U,GT3,T,3,1,1,3,0,no,yes,no,no,yes,yes,no,3,4,3,2,3,5,1,15

F,17,U,LE3,T,0,2,2,3,0,no,no,no,no,yes,yes,no,3,3,3,2,3,2,0,15

M,18,U,GT3,T,4,4,1,3,0,no,no,no,yes,yes,yes,no,4,3,3,2,2,3,3,11

M,17,U,GT3,T,3,3,1,1,0,no,no,no,yes,yes,yes,no,4,3,5,3,5,5,3,16

M,17,R,GT3,T,2,2,4,1,0,no,yes,no,no,yes,yes,no,4,4,5,5,5,4,8,10

F,17,U,GT3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,no,5,4,4,1,3,4,7,9

F,17,U,GT3,T,4,4,2,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,2,4,4,14

M,18,U,LE3,T,2,2,1,4,0,no,yes,no,yes,yes,yes,no,4,5,5,2,4,5,2,8

F,17,R,GT3,T,2,4,1,3,0,no,yes,no,no,yes,yes,yes,4,4,3,1,1,5,7,14

F,18,U,GT3,T,3,3,1,2,0,no,no,no,yes,yes,yes,no,5,3,4,1,1,4,0,0

F,18,U,LE3,T,2,2,1,2,0,no,no,no,yes,yes,yes,yes,4,3,3,1,1,2,0,0

F,18,R,GT3,T,2,2,2,4,0,no,no,no,yes,yes,no,no,4,4,4,1,1,4,0,0

F,17,U,GT3,T,3,4,1,3,0,no,no,no,no,yes,yes,no,4,4,5,1,3,5,16,15

F,19,R,GT3,A,3,1,1,3,1,no,no,yes,no,yes,no,no,5,4,3,1,2,5,12,13

F,17,U,GT3,T,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,4,3,2,2,3,2,0,0

F,18,U,LE3,T,3,3,1,4,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,1,7,17

F,17,R,GT3,A,3,2,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,3,2,4,10

F,19,U,GT3,T,2,1,1,3,1,no,no,yes,yes,yes,yes,yes,4,3,4,1,3,3,4,11

M,18,U,GT3,T,4,4,1,2,1,no,yes,no,yes,yes,yes,no,4,3,3,2,2,2,0,0

M,18,U,LE3,T,3,4,1,2,0,no,no,no,yes,yes,yes,yes,4,3,3,1,3,5,11,15

F,17,U,GT3,A,2,2,1,2,1,no,yes,no,no,yes,yes,yes,3,3,1,1,2,4,0,0

F,18,U,GT3,T,2,3,1,3,0,no,yes,no,no,yes,yes,no,4,3,3,1,2,3,4,10

F,18,U,GT3,T,3,2,1,3,0,no,no,no,no,yes,yes,yes,5,4,3,2,3,1,7,14

M,18,R,GT3,T,4,3,1,3,0,no,no,no,no,yes,yes,yes,5,3,2,1,2,4,9,16

M,18,U,GT3,T,4,3,1,3,0,no,yes,yes,no,yes,yes,yes,5,4,5,2,3,5,0,9

F,17,U,GT3,T,4,3,1,3,0,no,yes,yes,yes,yes,yes,yes,4,4,3,1,3,4,0,15

M,18,R,GT3,T,3,2,2,1,1,no,yes,no,no,yes,yes,no,2,5,5,5,5,5,10,13

M,19,R,GT3,T,1,1,3,2,3,no,no,no,no,yes,yes,no,5,4,4,3,3,2,8,8

M,17,U,GT3,T,3,3,2,2,0,no,yes,yes,no,yes,yes,no,4,5,4,2,3,3,2,13

M,18,U,LE3,T,1,3,1,1,1,no,no,no,no,no,yes,yes,4,3,3,2,3,3,7,8

M,19,R,GT3,T,1,1,3,1,1,no,yes,no,no,yes,yes,no,4,4,4,3,3,5,4,8

M,17,R,GT3,T,4,3,2,2,0,no,yes,yes,yes,yes,yes,yes,4,5,5,1,3,2,4,11

F,18,U,GT3,T,3,3,1,2,0,no,yes,no,no,yes,no,yes,5,3,4,1,1,5,0,9

F,17,R,GT3,T,4,4,2,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,5,4,13

F,17,U,LE3,A,3,2,2,2,0,no,no,no,no,yes,no,yes,1,2,3,1,2,5,2,11

M,18,U,LE3,T,1,1,2,1,0,no,no,no,no,yes,yes,yes,3,3,2,1,2,3,4,10

F,18,U,LE3,T,1,1,2,3,0,no,no,no,no,yes,yes,no,5,3,2,1,1,4,0,16

F,18,R,LE3,A,1,4,3,2,0,no,no,no,no,yes,no,yes,4,3,4,1,4,5,0,13

M,18,R,LE3,T,1,1,2,2,1,no,no,no,yes,no,no,no,4,4,3,2,3,5,2,12

F,18,U,GT3,T,3,3,2,2,0,no,yes,no,no,yes,yes,yes,4,3,2,1,3,3,0,10

F,17,U,LE3,T,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,2,3,4,1,1,1,0,15

F,17,R,GT3,T,1,2,2,2,0,no,no,no,no,yes,no,no,3,2,2,1,2,3,0,12

M,18,R,GT3,T,1,3,2,2,0,no,yes,yes,no,yes,no,no,3,3,4,2,4,3,4,10

M,18,U,LE3,T,4,4,2,3,0,no,no,yes,no,yes,yes,yes,4,2,2,2,2,5,0,13

F,17,R,GT3,T,1,1,3,1,1,no,yes,yes,no,yes,yes,yes,5,2,1,1,2,1,0,0

F,18,U,GT3,T,2,3,2,1,0,no,yes,yes,no,yes,yes,yes,5,2,3,1,2,4,0,10

F,18,R,GT3,T,4,4,3,2,0,no,yes,yes,no,yes,yes,yes,3,2,2,4,2,5,10,11

F,19,U,LE3,T,3,2,2,2,2,no,no,no,yes,yes,no,yes,3,2,2,1,1,3,4,9

M,18,R,LE3,T,1,2,3,1,0,no,yes,yes,yes,no,yes,yes,4,3,3,2,3,3,3,12

F,17,U,GT3,T,2,2,1,3,0,no,no,no,yes,yes,no,yes,3,4,3,1,1,3,8,11

F,17,R,GT3,T,1,2,1,1,0,no,no,no,yes,yes,yes,no,3,5,5,1,3,1,14,5

F,18,R,LE3,T,4,4,2,3,0,no,no,no,no,yes,yes,no,5,4,4,1,1,1,0,19

F,18,R,GT3,T,1,1,4,3,0,no,no,no,no,yes,yes,no,4,3,2,1,2,4,2,10

F,20,U,GT3,T,4,2,2,3,2,no,yes,yes,no,yes,yes,yes,5,4,3,1,1,3,4,15

F,18,R,LE3,T,4,4,1,2,0,no,no,yes,yes,yes,yes,no,5,4,3,3,4,2,4,10

F,18,U,GT3,T,3,3,1,2,0,no,no,yes,no,yes,yes,yes,4,1,3,1,2,1,0,15

F,17,R,GT3,T,3,1,1,2,0,no,yes,yes,yes,yes,yes,no,4,5,4,2,3,1,17,10

M,18,U,GT3,T,4,4,1,2,0,no,no,yes,yes,yes,yes,no,3,2,4,1,4,2,4,14

M,18,R,GT3,T,2,1,2,1,0,no,no,no,yes,yes,yes,yes,4,4,3,1,3,5,5,7

M,17,U,GT3,T,2,3,2,2,0,no,no,no,yes,yes,yes,no,4,4,3,1,1,3,2,10

M,19,R,GT3,T,1,1,2,1,1,no,no,no,no,yes,no,no,4,3,2,1,3,5,0,0

M,18,R,GT3,T,4,2,2,1,1,no,no,yes,no,yes,no,no,5,4,3,4,3,3,14,5

F,18,R,GT3,T,2,2,2,3,0,no,no,yes,no,yes,no,no,5,3,3,1,3,4,2,10

F,18,R,GT3,T,4,4,3,1,0,no,yes,yes,yes,yes,yes,yes,4,4,3,2,2,5,7,6

F,19,R,GT3,T,2,3,1,3,1,no,no,no,yes,yes,yes,no,5,4,2,1,2,5,0,0

F,18,U,LE3,T,3,1,1,2,0,no,yes,yes,no,yes,yes,no,4,3,4,1,1,1,0,8

F,18,U,GT3,T,1,1,2,2,1,no,no,no,yes,yes,no,no,1,1,1,1,1,5,0,0

M,20,U,LE3,A,2,2,1,2,2,no,yes,yes,no,yes,no,no,5,5,4,4,5,4,11,9

M,17,U,LE3,T,3,1,2,1,0,no,no,no,no,yes,yes,no,2,4,5,3,4,2,3,16

M,21,R,GT3,T,1,1,1,1,3,no,no,no,no,yes,no,no,5,5,3,3,3,3,3,7

M,18,R,LE3,T,3,2,3,1,0,no,no,no,no,yes,yes,no,4,4,1,3,4,5,0,10

M,19,U,LE3,T,1,1,1,1,0,no,no,no,no,yes,yes,no,3,2,3,3,3,5,5,9

